Apartamento,Heritage Edifício,"R$ 6.400.000,00",Londrina - PR,"4 dormitórios (sendo 4 suítes), "," 6 banheiros, "," 4 vagas, "
Apartamento,Ed. La Torre,"R$ 5.200.000,00",Londrina - PR,"4 dormitórios (sendo 4 suítes), "," 6 banheiros, "," 4 vagas, "
Apartamento,Torre de Malaga Edifício,"R$ 4.400.000,00",Londrina - PR,"4 dormitórios (sendo 4 suítes), "," 7 banheiros, "," 4 vagas, "
Apartamento,Edifício Artesano,"R$ 4.250.000,00",Londrina - PR,"4 dormitórios (sendo 4 suítes), "," 5 banheiros, "," 4 vagas, "
Apartamento,Le Rêve,"R$ 3.900.000,00",Londrina - PR,"3 dormitórios (sendo 3 suítes), "," 4 banheiros, "," 4 vagas, "
Apartamento,Ed. La Torre,"R$ 3.780.000,00",Londrina - PR,"4 dormitórios (sendo 4 suítes), "," 6 banheiros, "," 4 vagas, "
Apartamento,Legend Edifício,"R$ 3.500.000,00",Londrina - PR,"3 dormitórios (sendo 3 suítes), "," 4 banheiros, "," 3 vagas, "
Apartamento,Ed. La Torre,"R$ 3.300.000,00",Londrina - PR,"4 dormitórios (sendo 4 suítes), "," 6 banheiros, "," 4 vagas, "
Apartamento,Comodoro Edificio,"R$ 3.000.000,00",Londrina - PR,"4 dormitórios (sendo 4 suítes), "," 5 banheiros, "," 3 vagas, "
Apartamento,Casa Batllo Edificio,"R$ 2.990.000,00",Londrina - PR,"3 dormitórios (sendo 3 suítes), "," 5 banheiros, "," 3 vagas, "
Apartamento,Casa Batllo Edificio,"R$ 2.590.000,00",Londrina - PR,"3 dormitórios (sendo 3 suítes), "," 5 banheiros, "," 3 vagas, "
Apartamento,Casa Batllo Edificio,"R$ 2.400.000,00",Londrina - PR,"3 dormitórios (sendo 3 suítes), "," 5 banheiros, "," 3 vagas, "
Apartamento,Casa Batllo Edificio,"R$ 2.350.000,00",Londrina - PR,"3 dormitórios (sendo 3 suítes), "," 5 banheiros, "," 4 vagas, "
Apartamento,Unique Maison Edifício,"R$ 2.350.000,00",Londrina - PR,"3 dormitórios (sendo 3 suítes), "," 5 banheiros, "," 2 vagas, "
Apartamento,Grand Palais Edificio,"R$ 2.290.000,00",Londrina - PR,"3 dormitórios (sendo 3 suítes), "," 5 banheiros, "," 3 vagas, "
Apartamento,Authentique,"R$ 2.250.000,00",Londrina - PR,"3 dormitórios (sendo 3 suítes), "," 5 banheiros, "," 4 vagas, "
Apartamento,Grand Palais Edificio,"R$ 2.190.000,00",Londrina - PR,"3 dormitórios (sendo 3 suítes), "," 5 banheiros, "," 3 vagas, "
Apartamento,Imperador Edificio,"R$ 2.150.000,00",Londrina - PR,"4 dormitórios (sendo 4 suítes), "," 6 banheiros, "," 3 vagas, "
Apartamento,Grand Palais Edificio,"R$ 2.100.000,00",Londrina - PR,"3 dormitórios (sendo 3 suítes), "," 4 banheiros, "," 3 vagas, "
Apartamento,Ed. Torre de Madri,"R$ 2.000.000,00",Londrina - PR,"3 dormitórios (sendo 3 suítes), "," 5 banheiros, "," 2 vagas, "
Apartamento,Legacy Maison,"R$ 2.000.000,00",Londrina - PR,"3 dormitórios (sendo 3 suítes), "," 5 banheiros, "," 2 vagas, "
Apartamento,Ed. Lumini,"R$ 1.990.000,00",Londrina - PR,"3 dormitórios (sendo 3 suítes), "," 5 banheiros, "," 2 vagas, "
Apartamento,Unique Maison Edifício,"R$ 1.970.000,00",Londrina - PR,"3 dormitórios (sendo 3 suítes), "," 5 banheiros, "," 2 vagas, "
Apartamento,Greenwich Park Edificio,"R$ 1.955.000,00",Londrina - PR,"3 dormitórios (sendo 1 suíte), "," 3 banheiros, "," 4 vagas, "
Apartamento,Imperador Edificio,"R$ 1.950.000,00",Londrina - PR,"4 dormitórios (sendo 4 suítes), "," 6 banheiros, "," 3 vagas, "
Apartamento,Sonneto Residenzialle Edifício,"R$ 1.950.000,00",Londrina - PR,"3 dormitórios (sendo 3 suítes), "," 5 banheiros, "," 2 vagas, "
Apartamento,Comodoro Edificio,"R$ 1.900.000,00",Londrina - PR,"4 dormitórios (sendo 4 suítes), "," 5 banheiros, "," 3 vagas, "
Apartamento,Parc Guell Edifício,"R$ 1.890.000,00",Londrina - PR,"3 dormitórios (sendo 3 suítes), "," 5 banheiros, "," 2 vagas, "
Apartamento,Artigas,"R$ 1.870.000,00",Londrina - PR,"3 dormitórios (sendo 3 suítes), "," 5 banheiros, "," 2 vagas, "
Apartamento,Artigas,"R$ 1.830.000,00",Londrina - PR,"3 dormitórios (sendo 3 suítes), "," 5 banheiros, "," 2 vagas, "
Apartamento,Ed. Maison Victoria,"R$ 1.800.000,00",Londrina - PR,"3 dormitórios (sendo 3 suítes), "," 5 banheiros, "," 2 vagas, "
Apartamento,Edifício Átrio,"R$ 1.800.000,00",Londrina - PR,"3 dormitórios (sendo 3 suítes), "," 5 banheiros, "," 2 vagas, "
Apartamento,Palais Lac'dor Eifício,"R$ 1.800.000,00",Londrina - PR,"4 dormitórios (sendo 4 suítes), "," 5 banheiros, "," 4 vagas, "
Apartamento,Ed. Lumini,"R$ 1.795.000,00",Londrina - PR,"3 dormitórios (sendo 3 suítes), "," 5 banheiros, "," 3 vagas, "
Apartamento,Ópera House Edifício,"R$ 1.750.000,00",Londrina - PR,"3 dormitórios (sendo 3 suítes), "," 5 banheiros, "," 3 vagas, "
Apartamento,Absoluto,"R$ 1.750.000,00",Londrina - PR,"3 dormitórios (sendo 3 suítes), "," 5 banheiros, "," 2 vagas, "
